,LR,kNN,SVCrbf,SVCpoly1,linSVC1,linSVC2,DT,RF,AdaBoost,MLP1,MLP2,NB,QDA,cnn,prcnn,cnn_full
Blues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Classical,0.8091603053435115,0.5753424657534246,0.7903225806451613,0.8270676691729323,0.7445255474452555,0.6861313868613139,0.2424242424242425,0.0,0.0,0.7619047619047619,0.8,0.30612244897959184,0.0,0.5393258426966292,0.7118644067796609,0.5925925925925926
Country,0.06451612903225806,0.0,0.0,0.0,0.11320754716981132,0.05555555555555555,0.0,0.0,0.0,0.04444444444444445,0.0,0.017152658662092625,0.0,0.0,0.0,0.0
Easy Listening,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electronic,0.7287753568745304,0.6428571428571429,0.7202178352620829,0.7192386131883073,0.7111426543647977,0.7218155197657394,0.5619524405506884,0.5188834154351396,0.5004492362982929,0.7012779552715654,0.6988679245283019,0.054878048780487805,0.2770352369380316,0.7032828282828283,0.7496635262449529,0.6271301976823449
Experimental,0.34841628959276016,0.05907172995780593,0.4172043010752688,0.3498817966903073,0.32815964523281604,0.2892768079800499,0.10559006211180123,0.0,0.0457516339869281,0.3,0.3380855397148676,0.15384615384615385,0.2591549295774648,0.2492753623188406,0.3404255319148936,0.20689655172413793
Folk,0.2259136212624585,0.1870967741935484,0.2980132450331126,0.2565789473684211,0.2576271186440678,0.2671232876712329,0.1949685534591195,0.012903225806451613,0.0,0.1736111111111111,0.2328767123287671,0.13953488372093026,0.2556390977443609,0.2942942942942943,0.3388704318936877,0.07339449541284404
Hip-Hop,0.6808510638297872,0.5797752808988764,0.6919191919191919,0.6783919597989949,0.6619385342789598,0.6697247706422018,0.3541666666666667,0.0,0.0,0.6711711711711712,0.6993006993006993,0.033755274261603366,0.16666666666666666,0.7076923076923077,0.7541766109785203,0.5973451327433629
Instrumental,0.2589928057553957,0.05434782608695652,0.2459016393442623,0.2702702702702703,0.2641509433962264,0.2490272373540856,0.20359281437125748,0.0,0.0,0.2909090909090909,0.3010033444816054,0.08080808080808081,0.06557377049180327,0.16267942583732056,0.25,0.21700879765395895
International,0.3809523809523809,0.07936507936507936,0.4081632653061225,0.3611111111111111,0.32926829268292684,0.35365853658536583,0.1935483870967742,0.0,0.0,0.3681592039800995,0.3253012048192771,0.09876543209876544,0.2578397212543554,0.2589928057553957,0.3428571428571429,0.11347517730496454
Jazz,0.4871794871794872,0.4528301886792453,0.6,0.6101694915254238,0.39436619718309857,0.5194805194805194,0.0,0.0,0.0,0.463768115942029,0.5121951219512195,0.1453287197231834,0.0,0.05,0.4571428571428571,0.0
Old-Time / Historic,0.9423076923076924,0.9306930693069309,0.9708737864077672,0.9615384615384616,0.9090909090909092,0.9074074074074074,0.8260869565217391,0.0,0.3333333333333333,0.9090909090909092,0.9345794392523364,0.6282051282051282,0.0,0.8623853211009175,0.9357798165137616,0.8043478260869565
Pop,0.125,0.0,0.07246376811594203,0.045454545454545456,0.1696969696969697,0.07194244604316546,0.0,0.0,0.0,0.1826086956521739,0.22317596566523606,0.010638297872340424,0.10526315789473684,0.015748031496062992,0.17391304347826084,0.128
Rock,0.77735368956743,0.6269070735090153,0.7778469197261979,0.7714987714987716,0.7551426675514267,0.766852195423624,0.6908635794743431,0.6004796163069545,0.6420079260237781,0.7302631578947368,0.7431254191817572,0.12903225806451613,0.2694736842105263,0.7668329177057357,0.7822045152722443,0.7049067035245336
Soul-RnB,0.038461538461538464,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.07394366197183097,0.0,0.0,0.0,0.0
Spoken,0.19047619047619047,0.0,0.35294117647058826,0.2352941176470588,0.3157894736842105,0.13793103448275862,0.0,0.0,0.0,0.26666666666666666,0.3333333333333333,0.12048192771084335,0.0,0.0,0.2727272727272727,0.0
