,LR,kNN,SVCrbf,SVCpoly1,linSVC1,linSVC2,DT,RF,AdaBoost,MLP1,MLP2,NB,QDA,cnn,prcnn,cnn_full
Blues,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0
Classical,0.7681159420289855,0.5,0.7903225806451613,0.7746478873239436,0.68,0.6266666666666667,0.2285714285714285,,0.0,0.75,0.8679245283018868,0.4166666666666667,,0.4137931034482759,0.75,0.547945205479452
Country,0.07692307692307693,,,,0.08571428571428573,0.05555555555555555,,,,0.037037037037037035,0.0,0.008849557522123894,,0.0,0.0,0.0
Easy Listening,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0
Electronic,0.6938483547925608,0.6948529411764706,0.6320191158900836,0.6305125148986889,0.6447876447876448,0.6716621253405994,0.4648033126293996,0.396652719665272,0.349435382685069,0.7080645161290322,0.6681096681096681,0.75,0.5968586387434555,0.5850840336134454,0.6522248243559718,0.5515587529976019
Experimental,0.3548387096774194,0.5833333333333334,0.4041666666666667,0.37373737373737376,0.3274336283185841,0.3295454545454545,0.17525773195876287,0.0,0.08641975308641975,0.3069767441860465,0.31203007518796994,0.3606557377049181,0.3538461538461539,0.3583333333333333,0.3636363636363637,0.21428571428571427
Folk,0.22818791946308725,0.1835443037974684,0.3,0.2565789473684211,0.2657342657342657,0.2785714285714286,0.1867469879518072,0.3333333333333333,0.0,0.18382352941176472,0.24285714285714285,0.2380952380952381,0.17894736842105266,0.2707182320441989,0.3422818791946309,0.12121212121212122
Hip-Hop,0.7093596059113301,0.5733333333333334,0.7784090909090909,0.7584269662921348,0.6896551724137931,0.6759259259259259,0.4146341463414634,,,0.6651785714285714,0.7177033492822966,0.2352941176470588,0.20394736842105265,0.8117647058823529,0.7939698492462312,0.5818965517241379
Instrumental,0.3461538461538461,0.5,0.42857142857142855,0.4117647058823529,0.38461538461538464,0.3855421686746988,0.2125,,,0.3076923076923077,0.36,0.3333333333333333,0.6666666666666666,0.4857142857142857,0.5,0.2215568862275449
International,0.4137931034482759,0.2083333333333333,0.6666666666666666,0.6190476190476191,0.4354838709677419,0.4677419354838709,0.5454545454545454,,0.0,0.37373737373737376,0.421875,0.07207207207207207,0.2,0.4864864864864865,0.631578947368421,0.20512820512820512
Jazz,0.4871794871794872,0.8571428571428571,0.8571428571428571,0.9,0.4375,0.5263157894736842,,,,0.5333333333333333,0.4883720930232558,0.084,,1.0,0.5161290322580645,0.0
Old-Time / Historic,0.9245283018867924,0.94,0.9615384615384616,0.9433962264150944,0.8474576271186439,0.8596491228070176,0.9268292682926828,,0.28,0.8474576271186439,0.8928571428571429,0.4666666666666667,,0.8103448275862069,0.8793103448275862,0.9024390243902439
Pop,0.19298245614035087,,0.2631578947368421,0.2307692307692308,0.3043478260869565,0.25,,,,0.1891891891891892,0.2280701754385965,0.014492753623188406,0.0574980574980575,0.125,0.18018018018018014,0.12213740458015267
Rock,0.7096399535423926,0.4669421487603306,0.6975446428571429,0.6848418756815703,0.7148241206030149,0.6843267108167771,0.6223224351747464,0.4556040756914119,0.6052303860523038,0.6860321384425216,0.7102564102564103,0.78125,0.5355648535564853,0.6879194630872483,0.7399497487437185,0.6919945725915875
Soul-RnB,0.1,,,,0.07692307692307693,0.0,,,,0.0,0.0,0.039923954372623575,,0.0,0.0,0.0
Spoken,0.2222222222222222,,0.6,0.4,0.42857142857142855,0.1176470588235294,,,,0.6666666666666666,0.5,0.06493506493506493,,0.0,0.3,0.0
