,LR,kNN,SVCrbf,SVCpoly1,linSVC1,linSVC2,DT,RF,AdaBoost,MLP1,MLP2,NB,QDA,cnn,prcnn,cnn_full
Blues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Classical,0.8548387096774194,0.6774193548387096,0.7903225806451613,0.8870967741935484,0.8225806451612904,0.7580645161290323,0.25806451612903225,0.0,0.0,0.7741935483870968,0.7419354838709677,0.2419354838709677,0.0,0.7741935483870968,0.6774193548387096,0.6451612903225806
Country,0.05555555555555555,0.0,0.0,0.0,0.16666666666666666,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.2777777777777778,0.0,0.0,0.0,0.0
Easy Listening,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electronic,0.7674050632911392,0.5981012658227848,0.8370253164556962,0.8370253164556962,0.7927215189873418,0.7800632911392406,0.7104430379746836,0.75,0.8813291139240507,0.6946202531645571,0.7325949367088608,0.02848101265822785,0.18037974683544306,0.8813291139240507,0.8813291139240507,0.7266982622432859
Experimental,0.3422222222222222,0.031111111111111117,0.4311111111111111,0.3288888888888889,0.3288888888888889,0.2577777777777778,0.07555555555555556,0.0,0.031111111111111117,0.2933333333333333,0.3688888888888889,0.09777777777777777,0.20444444444444448,0.19111111111111112,0.32,0.2
Folk,0.2236842105263158,0.19078947368421054,0.2960526315789473,0.2565789473684211,0.25,0.2565789473684211,0.20394736842105265,0.006578947368421052,0.0,0.16447368421052633,0.2236842105263158,0.0986842105263158,0.4473684210526316,0.3223684210526316,0.3355263157894737,0.05263157894736842
Hip-Hop,0.6545454545454545,0.5863636363636363,0.6227272727272727,0.6136363636363636,0.6363636363636364,0.6636363636363637,0.3090909090909091,0.0,0.0,0.6772727272727272,0.6818181818181818,0.01818181818181818,0.1409090909090909,0.6272727272727273,0.7181818181818181,0.6136363636363636
Instrumental,0.206896551724138,0.02873563218390805,0.1724137931034483,0.20114942528735635,0.20114942528735635,0.1839080459770115,0.19540229885057472,0.0,0.0,0.27586206896551724,0.25862068965517243,0.045977011494252866,0.03448275862068965,0.09770114942528736,0.16666666666666666,0.21264367816091953
International,0.35294117647058826,0.04901960784313725,0.29411764705882354,0.2549019607843137,0.2647058823529412,0.2843137254901961,0.1176470588235294,0.0,0.0,0.3627450980392157,0.2647058823529412,0.1568627450980392,0.3627450980392157,0.17647058823529413,0.2352941176470588,0.0784313725490196
Jazz,0.4871794871794872,0.3076923076923077,0.4615384615384616,0.4615384615384616,0.35897435897435903,0.5128205128205128,0.0,0.0,0.0,0.41025641025641024,0.5384615384615384,0.5384615384615384,0.0,0.02564102564102564,0.41025641025641024,0.0
Old-Time / Historic,0.9607843137254902,0.9215686274509804,0.9803921568627452,0.9803921568627452,0.9803921568627452,0.9607843137254902,0.7450980392156863,0.0,0.4117647058823529,0.9803921568627452,0.9803921568627452,0.9607843137254902,0.0,0.9215686274509804,1.0,0.7254901960784313
Pop,0.09243697478991596,0.0,0.04201680672268908,0.025210084033613446,0.1176470588235294,0.04201680672268908,0.0,0.0,0.0,0.17647058823529413,0.2184873949579832,0.008403361344537815,0.6218487394957983,0.008403361344537815,0.16806722689075632,0.13445378151260504
Rock,0.8593530239099859,0.9535864978902954,0.8790436005625879,0.8832630098452883,0.8002812939521801,0.8720112517580872,0.7763713080168776,0.8804500703234881,0.6835443037974683,0.7805907172995781,0.7791842475386779,0.07032348804500703,0.180028129395218,0.8661971830985915,0.8295774647887324,0.7183098591549296
Soul-RnB,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Spoken,0.16666666666666666,0.0,0.25,0.16666666666666666,0.25,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.25,0.8333333333333334,0.0,0.0,0.25,0.0
