,commity,val_acc_1,val_acc_2,test_acc_1,test_acc_2,differences,count,mean,variance,t_value,p_value,max_accuracy,max_increment
0,crnn crnn2 crnn3 crnn5 LR ,61.375,-39.000000000000014,52.0,53.0,1.0,50.0,-2.972499999999999,6.524888086459132,-3.221319475868035,199.7731051884558,54.75,1.375000000000007
1,crnn crnn2 crnn3 crnn5 SVCpoly1 ,61.375,-39.000000000000014,51.24999999999999,51.625,0.3750000000000071,,,,,,,
2,crnn crnn2 crnn3 crnn4 crnn5 LR SVCpoly1 ,61.375,-38.87499999999999,52.25,53.625,1.375,,,,,,,
3,crnn crnn2 crnn3 crnn5 SVCrbf ,61.375,-39.000000000000014,51.24999999999999,50.74999999999999,-0.5,,,,,,,
4,crnn crnn2 crnn3 crnn4 crnn5 LR SVCrbf ,61.375,-38.87499999999999,52.75,53.37499999999999,0.6249999999999929,,,,,,,
5,crnn crnn2 crnn3 crnn4 crnn5 SVCpoly1 SVCrbf ,61.375,-38.87499999999999,51.625,52.625,1.0,,,,,,,
6,crnn crnn2 crnn3 crnn5 linSVC2 ,61.375,-39.000000000000014,51.37500000000001,51.74999999999999,0.3749999999999858,,,,,,,
7,crnn crnn2 crnn3 crnn4 crnn5 LR linSVC2 ,61.375,-38.87499999999999,52.25,53.625,1.375,,,,,,,
8,crnn crnn2 crnn3 crnn4 crnn5 SVCpoly1 linSVC2 ,61.375,-38.87499999999999,51.24999999999999,50.24999999999999,-1.0,,,,,,,
9,crnn crnn2 crnn3 crnn4 crnn5 SVCrbf linSVC2 ,61.375,-38.87499999999999,51.74999999999999,52.625,0.8750000000000071,,,,,,,
10,crnn crnn2 crnn3 crnn5 MLP1 ,61.375,-39.000000000000014,51.24999999999999,51.5,0.2500000000000071,,,,,,,
11,crnn crnn2 crnn3 crnn4 crnn5 LR MLP1 ,61.375,-38.87499999999999,52.25,53.5,1.25,,,,,,,
12,crnn crnn2 crnn3 crnn4 crnn5 SVCpoly1 MLP1 ,61.375,-38.87499999999999,51.24999999999999,50.125,-1.124999999999993,,,,,,,
13,crnn crnn2 crnn3 crnn4 crnn5 SVCrbf MLP1 ,61.375,-38.87499999999999,51.74999999999999,52.5,0.7500000000000071,,,,,,,
14,crnn crnn2 crnn3 crnn4 crnn5 linSVC2 MLP1 ,61.375,-38.87499999999999,51.24999999999999,50.24999999999999,-1.0,,,,,,,
15,crnn crnn2 crnn3 crnn5 LR SVCpoly1 SVCrbf linSVC2 MLP1 ,61.375,-38.625,51.74999999999999,32.00000000000001,-19.749999999999986,,,,,,,
16,crnn crnn3 crnn4 crnn5 LR SVCpoly1 SVCrbf linSVC2 MLP1 ,61.375,-38.5,53.37499999999999,40.25000000000001,-13.124999999999986,,,,,,,
17,crnn crnn2 crnn3 crnn5 MLP2 ,61.375,-39.000000000000014,51.74999999999999,51.5,-0.2499999999999929,,,,,,,
