,commity,val_acc_1,val_acc_2,test_acc_1,test_acc_2,differences,count,mean,variance,t_value,p_value,max_accuracy,max_increment
0,crnn crnn2 crnn3 crnn5 LR ,61.375,-38.625,52.0,52.0,0.0,50.0,0.0025000000000001423,0.03082620803862927,0.5734623443633502,56.89544686260355,53.87499999999999,0.1250000000000142
1,crnn crnn2 crnn3 crnn5 SVCpoly1 ,61.375,-38.625,51.24999999999999,51.24999999999999,0.0,,,,,,,
2,crnn crnn2 crnn3 crnn4 crnn5 LR SVCpoly1 ,61.375,-38.625,52.25,52.25,0.0,,,,,,,
3,crnn crnn2 crnn3 crnn5 SVCrbf ,61.375,-38.625,51.24999999999999,51.24999999999999,0.0,,,,,,,
4,crnn crnn2 crnn3 crnn4 crnn5 LR SVCrbf ,61.375,-38.625,52.75,52.75,0.0,,,,,,,
5,crnn crnn2 crnn3 crnn4 crnn5 SVCpoly1 SVCrbf ,61.375,-38.625,51.625,51.625,0.0,,,,,,,
6,crnn crnn2 crnn3 crnn5 linSVC2 ,61.375,-38.625,51.37500000000001,51.37500000000001,0.0,,,,,,,
7,crnn crnn2 crnn3 crnn4 crnn5 LR linSVC2 ,61.375,-38.625,52.25,52.25,0.0,,,,,,,
8,crnn crnn2 crnn3 crnn4 crnn5 SVCpoly1 linSVC2 ,61.375,-38.625,51.24999999999999,51.24999999999999,0.0,,,,,,,
9,crnn crnn2 crnn3 crnn4 crnn5 SVCrbf linSVC2 ,61.375,-38.625,51.74999999999999,51.74999999999999,0.0,,,,,,,
10,crnn crnn2 crnn3 crnn5 MLP1 ,61.375,-38.625,51.24999999999999,51.24999999999999,0.0,,,,,,,
11,crnn crnn2 crnn3 crnn4 crnn5 LR MLP1 ,61.375,-38.625,52.25,52.25,0.0,,,,,,,
12,crnn crnn2 crnn3 crnn4 crnn5 SVCpoly1 MLP1 ,61.375,-38.625,51.24999999999999,51.24999999999999,0.0,,,,,,,
13,crnn crnn2 crnn3 crnn4 crnn5 SVCrbf MLP1 ,61.375,-38.625,51.74999999999999,51.74999999999999,0.0,,,,,,,
14,crnn crnn2 crnn3 crnn4 crnn5 linSVC2 MLP1 ,61.375,-38.625,51.24999999999999,51.24999999999999,0.0,,,,,,,
15,crnn crnn2 crnn3 crnn5 LR SVCpoly1 SVCrbf linSVC2 MLP1 ,61.375,-38.625,51.74999999999999,51.74999999999999,0.0,,,,,,,
16,crnn crnn3 crnn4 crnn5 LR SVCpoly1 SVCrbf linSVC2 MLP1 ,61.375,-38.625,53.37499999999999,53.37499999999999,0.0,,,,,,,
17,crnn crnn2 crnn3 crnn5 MLP2 ,61.375,-38.625,51.74999999999999,51.74999999999999,0.0,,,,,,,
18,crnn crnn2 crnn3 crnn4 crnn5 LR MLP2 ,61.375,-38.625,52.5,52.5,0.0,,,,,,,
19,crnn crnn2 crnn3 crnn4 crnn5 SVCpoly1 MLP2 ,61.375,-38.625,51.37500000000001,51.37500000000001,0.0,,,,,,,
20,crnn crnn2 crnn3 crnn4 crnn5 SVCrbf MLP2 ,61.375,-38.625,52.0,52.0,0.0,,,,,,,
