,commity,val_acc_1,val_acc_2,test_acc_1,test_acc_2,differences,count,mean,variance,t_value,p_value,max_accuracy,max_increment
0,crnn crnn3 crnn4 crnn5 prcnn ,50.125,58.5,46.50000000000001,51.24999999999999,4.749999999999986,50.0,8.705,3.9472575082878354,15.594028302700856,0.0,53.125,17.749999999999996
1,crnn crnn2 crnn4 crnn5 prcnn ,49.62500000000001,59.5,46.12499999999999,51.74999999999999,5.625,,,,,,,
2,crnn crnn2 crnn3 crnn4 prcnn ,49.5,58.875,45.12499999999999,49.62500000000001,4.500000000000014,,,,,,,
3,crnn crnn2 crnn3 crnn5 prcnn ,49.24999999999999,59.0,45.75,52.75,7.0,,,,,,,
4,crnn crnn2 crnn3 crnn4 crnn5 ,48.62500000000001,58.25,46.12499999999999,51.5,5.375000000000007,,,,,,,
5,crnn crnn5 prcnn ,48.62500000000001,59.0,43.125,51.5,8.375,,,,,,,
6,crnn crnn4 crnn5 ,47.5,61.0,44.375,51.24999999999999,6.874999999999993,,,,,,,
7,crnn2 crnn3 crnn4 crnn5 prcnn ,47.5,57.99999999999999,46.62500000000001,52.25,5.624999999999993,,,,,,,
8,crnn crnn4 prcnn ,47.24999999999999,57.49999999999999,42.75,48.62500000000001,5.875000000000007,,,,,,,
9,crnn4 crnn5 prcnn ,47.24999999999999,58.375,42.99999999999999,53.125,10.125000000000007,,,,,,,
10,crnn crnn3 crnn4 ,47.12499999999999,57.62500000000001,43.625,47.875,4.25,,,,,,,
11,crnn crnn2 prcnn ,47.0,56.00000000000001,42.25,47.62500000000001,5.375000000000007,,,,,,,
12,crnn crnn3 crnn5 ,46.875,57.125,43.875,49.62500000000001,5.750000000000007,,,,,,,
13,crnn crnn2 crnn5 ,46.75,56.875,44.50000000000001,49.125,4.624999999999993,,,,,,,
14,crnn crnn3 prcnn ,46.75,56.875,42.37500000000001,48.375,5.999999999999993,,,,,,,
15,crnn3 crnn4 crnn5 ,46.12499999999999,58.12500000000001,44.12499999999999,51.74999999999999,7.625,,,,,,,
16,crnn crnn2 crnn4 ,46.0,56.125,43.37500000000001,47.5,4.124999999999993,,,,,,,
17,crnn crnn2 crnn3 ,45.875,56.75,40.99999999999999,46.62500000000001,5.625000000000014,,,,,,,
18,crnn3 crnn5 prcnn ,45.62500000000001,54.75,43.37500000000001,50.125,6.749999999999993,,,,,,,
19,crnn3 crnn4 prcnn ,45.12499999999999,56.875,42.875,49.5,6.625,,,,,,,
20,crnn2 crnn4 crnn5 ,44.99999999999999,58.375,43.25,50.375,7.125,,,,,,,
21,crnn2 crnn4 prcnn ,44.875,57.25,43.625,49.75000000000001,6.125000000000007,,,,,,,
22,crnn2 crnn5 prcnn ,44.875,56.875,42.625,48.62500000000001,6.000000000000007,,,,,,,
23,crnn2 crnn3 crnn5 ,43.99999999999999,57.62500000000001,43.50000000000001,50.74999999999999,7.249999999999986,,,,,,,
