,commity,val_acc_1,val_acc_2,test_acc_1,test_acc_2,differences,count,mean,variance,t_value,p_value,max_accuracy,max_increment
0,crnn crnn3 crnn4 crnn5 prcnn ,50.125,50.125,46.50000000000001,46.50000000000001,0.0,50.0,0.0,0.0,,,46.62500000000001,0.0
1,crnn crnn2 crnn4 crnn5 prcnn ,49.62500000000001,49.62500000000001,46.12499999999999,46.12499999999999,0.0,,,,,,,
2,crnn crnn2 crnn3 crnn4 prcnn ,49.5,49.5,45.12499999999999,45.12499999999999,0.0,,,,,,,
3,crnn crnn2 crnn3 crnn5 prcnn ,49.24999999999999,49.24999999999999,45.75,45.75,0.0,,,,,,,
4,crnn crnn2 crnn3 crnn4 crnn5 ,48.62500000000001,48.62500000000001,46.12499999999999,46.12499999999999,0.0,,,,,,,
5,crnn crnn5 prcnn ,48.62500000000001,48.62500000000001,43.125,43.125,0.0,,,,,,,
6,crnn crnn4 crnn5 ,47.5,47.5,44.375,44.375,0.0,,,,,,,
7,crnn2 crnn3 crnn4 crnn5 prcnn ,47.5,47.5,46.62500000000001,46.62500000000001,0.0,,,,,,,
8,crnn crnn4 prcnn ,47.24999999999999,47.24999999999999,42.75,42.75,0.0,,,,,,,
9,crnn4 crnn5 prcnn ,47.24999999999999,47.24999999999999,42.99999999999999,42.99999999999999,0.0,,,,,,,
10,crnn crnn3 crnn4 ,47.12499999999999,47.12499999999999,43.625,43.625,0.0,,,,,,,
11,crnn crnn2 prcnn ,47.0,47.0,42.25,42.25,0.0,,,,,,,
12,crnn crnn3 crnn5 ,46.875,46.875,43.875,43.875,0.0,,,,,,,
13,crnn crnn2 crnn5 ,46.75,46.75,44.50000000000001,44.50000000000001,0.0,,,,,,,
14,crnn crnn3 prcnn ,46.75,46.75,42.37500000000001,42.37500000000001,0.0,,,,,,,
15,crnn3 crnn4 crnn5 ,46.12499999999999,46.12499999999999,44.12499999999999,44.12499999999999,0.0,,,,,,,
16,crnn crnn2 crnn4 ,46.0,46.0,43.37500000000001,43.37500000000001,0.0,,,,,,,
17,crnn crnn2 crnn3 ,45.875,45.875,40.99999999999999,40.99999999999999,0.0,,,,,,,
18,crnn3 crnn5 prcnn ,45.62500000000001,45.62500000000001,43.37500000000001,43.37500000000001,0.0,,,,,,,
19,crnn3 crnn4 prcnn ,45.12499999999999,45.12499999999999,42.875,42.875,0.0,,,,,,,
20,crnn2 crnn4 crnn5 ,44.99999999999999,44.99999999999999,43.25,43.25,0.0,,,,,,,
21,crnn2 crnn4 prcnn ,44.875,44.875,43.625,43.625,0.0,,,,,,,
22,crnn2 crnn5 prcnn ,44.875,44.875,42.625,42.625,0.0,,,,,,,
23,crnn2 crnn3 crnn5 ,43.99999999999999,43.99999999999999,43.50000000000001,43.50000000000001,0.0,,,,,,,
24,crnn2 crnn3 crnn4 ,43.875,43.875,41.87499999999999,41.87499999999999,0.0,,,,,,,
25,crnn2 crnn3 prcnn ,43.875,43.875,40.625,40.625,0.0,,,,,,,
26,crnn crnn2 crnn3 crnn4 crnn5 prcnn LR ,40.37500000000001,40.37500000000001,46.12499999999999,46.12499999999999,0.0,,,,,,,
27,crnn crnn2 crnn3 crnn4 crnn5 prcnn SVCpoly1 ,40.37500000000001,40.37500000000001,37.25000000000001,37.25000000000001,0.0,,,,,,,
28,crnn crnn2 crnn3 crnn4 crnn5 prcnn SVCrbf ,40.37500000000001,40.37500000000001,34.62499999999999,34.62499999999999,0.0,,,,,,,
29,crnn crnn2 crnn3 crnn4 crnn5 prcnn linSVC2 ,40.37500000000001,40.37500000000001,37.25000000000001,37.25000000000001,0.0,,,,,,,
30,crnn crnn2 crnn3 crnn4 crnn5 prcnn MLP1 ,40.37500000000001,40.37500000000001,37.74999999999999,37.74999999999999,0.0,,,,,,,
31,crnn crnn2 crnn3 crnn4 crnn5 prcnn MLP2 ,40.37500000000001,40.37500000000001,39.0,39.0,0.0,,,,,,,
32,crnn5 ,39.0,39.0,35.74999999999999,35.74999999999999,0.0,,,,,,,
33,prcnn ,37.87499999999999,37.87499999999999,29.625,29.625,0.0,,,,,,,
34,crnn crnn2 crnn3 crnn5 LR ,36.625,43.37500000000001,42.99999999999999,42.99999999999999,0.0,,,,,,,
35,crnn crnn2 crnn3 crnn5 SVCpoly1 ,36.625,43.37500000000001,33.5,33.5,0.0,,,,,,,
36,crnn crnn2 crnn3 crnn5 SVCrbf ,36.625,43.37500000000001,30.000000000000004,30.000000000000004,0.0,,,,,,,
37,crnn crnn2 crnn3 crnn5 linSVC2 ,36.625,43.37500000000001,33.62499999999999,33.62499999999999,0.0,,,,,,,
38,crnn crnn2 crnn3 crnn5 MLP1 ,36.625,43.37500000000001,34.00000000000001,34.00000000000001,0.0,,,,,,,
39,crnn crnn2 crnn3 crnn5 MLP2 ,36.625,43.37500000000001,34.25,34.25,0.0,,,,,,,
40,crnn crnn2 crnn3 prcnn LR ,36.5,36.5,43.50000000000001,43.50000000000001,0.0,,,,,,,
41,crnn crnn2 crnn3 prcnn SVCpoly1 ,36.5,36.5,32.875,32.875,0.0,,,,,,,
42,crnn crnn2 crnn3 prcnn SVCrbf ,36.5,36.5,29.125,29.125,0.0,,,,,,,
43,crnn crnn2 crnn3 prcnn linSVC2 ,36.5,36.5,32.875,32.875,0.0,,,,,,,
44,crnn crnn2 crnn3 prcnn MLP1 ,36.5,36.5,33.5,33.5,0.0,,,,,,,
45,crnn crnn2 crnn3 prcnn MLP2 ,36.5,36.5,34.5,34.5,0.0,,,,,,,
46,crnn crnn2 crnn3 crnn4 LR ,36.375,40.125,42.75,42.75,0.0,,,,,,,
47,crnn crnn2 crnn3 crnn4 SVCpoly1 ,36.375,40.125,32.75,32.75,0.0,,,,,,,
48,crnn crnn2 crnn3 crnn4 SVCrbf ,36.375,40.125,29.625,29.625,0.0,,,,,,,
49,crnn crnn2 crnn3 crnn4 linSVC2 ,36.375,40.125,32.875,32.875,0.0,,,,,,,
