,commity,val_acc_1,val_acc_2,test_acc_1,test_acc_2,differences,count,mean,variance,t_value,p_value,max_accuracy,max_increment
0,crnn crnn4 crnn5 ,60.375,-39.625,51.74999999999999,51.74999999999999,0.0,50.0,0.049999999999998296,0.3952847075210464,0.8944271909998878,37.54658480958373,52.87500000000001,0.8749999999999929
1,crnn4 crnn5 prcnn ,59.12500000000001,-40.87499999999999,52.87500000000001,52.87500000000001,0.0,,,,,,,
2,crnn crnn2 crnn4 crnn5 prcnn ,59.12500000000001,-40.625,51.625,51.87500000000001,0.2500000000000071,,,,,,,
3,crnn2 crnn3 crnn4 crnn5 prcnn ,58.75,-41.25000000000001,52.5,52.5,0.0,,,,,,,
4,crnn crnn2 crnn3 crnn4 crnn5 ,58.62500000000001,-40.625,49.75000000000001,49.375,-0.3750000000000071,,,,,,,
5,crnn crnn3 crnn4 crnn5 prcnn ,58.5,-41.124999999999986,50.125,50.375,0.25,,,,,,,
6,crnn crnn2 crnn3 crnn4 crnn5 prcnn LR ,58.5,-41.000000000000014,52.0,51.87500000000001,-0.1249999999999929,,,,,,,
7,crnn crnn2 crnn3 crnn4 crnn5 prcnn SVCpoly1 ,58.5,-41.000000000000014,50.625,51.24999999999999,0.6249999999999929,,,,,,,
8,crnn crnn2 crnn3 crnn4 crnn5 prcnn SVCrbf ,58.5,-41.000000000000014,49.375,50.24999999999999,0.8749999999999929,,,,,,,
9,crnn crnn2 crnn3 crnn4 crnn5 prcnn linSVC2 ,58.5,-41.000000000000014,50.625,51.24999999999999,0.6249999999999929,,,,,,,
10,crnn crnn2 crnn3 crnn4 crnn5 prcnn MLP1 ,58.5,-41.000000000000014,50.5,51.125,0.625,,,,,,,
11,crnn crnn2 crnn3 crnn4 crnn5 prcnn MLP2 ,58.5,-41.000000000000014,49.5,49.75000000000001,0.2500000000000071,,,,,,,
12,crnn crnn5 prcnn ,58.25,-41.5,51.125,50.74999999999999,-0.3750000000000071,,,,,,,
13,crnn crnn2 crnn3 crnn5 prcnn ,58.12500000000001,-41.5,50.875,50.5,-0.375,,,,,,,
14,crnn crnn3 crnn5 ,57.99999999999999,-41.5,50.875,49.375,-1.5,,,,,,,
15,crnn crnn2 crnn3 crnn4 prcnn ,57.99999999999999,-41.625,48.62500000000001,49.0,0.3749999999999929,,,,,,,
16,crnn crnn2 crnn5 prcnn LR ,57.49999999999999,-42.37500000000001,52.0,51.74999999999999,-0.2500000000000071,,,,,,,
17,crnn crnn2 crnn5 prcnn SVCpoly1 ,57.49999999999999,-42.37500000000001,49.875,50.125,0.25,,,,,,,
18,crnn crnn2 crnn5 prcnn SVCrbf ,57.49999999999999,-42.37500000000001,49.375,49.62500000000001,0.2500000000000071,,,,,,,
19,crnn crnn2 crnn5 prcnn linSVC2 ,57.49999999999999,-42.37500000000001,49.875,50.125,0.25,,,,,,,
20,crnn crnn2 crnn5 prcnn MLP1 ,57.49999999999999,-42.37500000000001,49.75000000000001,50.0,0.2499999999999929,,,,,,,
21,crnn crnn2 crnn5 prcnn MLP2 ,57.49999999999999,-42.37500000000001,48.75000000000001,49.0,0.2499999999999929,,,,,,,
22,crnn2 crnn4 crnn5 ,57.375,-41.99999999999999,50.74999999999999,50.74999999999999,0.0,,,,,,,
23,crnn3 crnn4 crnn5 ,57.25,-42.125000000000014,52.125,52.25,0.125,,,,,,,
24,crnn crnn2 crnn4 ,57.125,-42.875,48.0,48.0,0.0,,,,,,,
25,crnn crnn3 crnn4 crnn5 LR ,56.99999999999999,-42.37500000000001,53.25,52.75,-0.5,,,,,,,
26,crnn crnn3 crnn4 prcnn LR ,56.99999999999999,-43.000000000000014,51.625,51.625,0.0,,,,,,,
27,crnn crnn4 crnn5 prcnn LR ,56.99999999999999,-43.000000000000014,52.87500000000001,52.87500000000001,0.0,,,,,,,
28,crnn crnn3 crnn4 crnn5 SVCpoly1 ,56.99999999999999,-42.37500000000001,50.5,50.5,0.0,,,,,,,
29,crnn crnn3 crnn4 prcnn SVCpoly1 ,56.99999999999999,-43.000000000000014,50.0,50.0,0.0,,,,,,,
30,crnn crnn4 crnn5 prcnn SVCpoly1 ,56.99999999999999,-43.000000000000014,50.5,50.5,0.0,,,,,,,
31,crnn crnn3 crnn4 crnn5 SVCrbf ,56.99999999999999,-42.37500000000001,49.62500000000001,50.24999999999999,0.6249999999999858,,,,,,,
32,crnn crnn3 crnn4 prcnn SVCrbf ,56.99999999999999,-43.000000000000014,47.62500000000001,47.62500000000001,0.0,,,,,,,
33,crnn crnn4 crnn5 prcnn SVCrbf ,56.99999999999999,-43.000000000000014,50.625,50.625,0.0,,,,,,,
34,crnn crnn3 crnn4 crnn5 linSVC2 ,56.99999999999999,-42.37500000000001,50.5,50.5,0.0,,,,,,,
35,crnn crnn3 crnn4 prcnn linSVC2 ,56.99999999999999,-43.000000000000014,50.0,50.0,0.0,,,,,,,
36,crnn crnn4 crnn5 prcnn linSVC2 ,56.99999999999999,-43.000000000000014,50.5,50.5,0.0,,,,,,,
37,crnn crnn3 crnn4 crnn5 MLP1 ,56.99999999999999,-42.37500000000001,50.375,50.375,0.0,,,,,,,
38,crnn crnn3 crnn4 prcnn MLP1 ,56.99999999999999,-43.000000000000014,49.875,49.875,0.0,,,,,,,
39,crnn crnn4 crnn5 prcnn MLP1 ,56.99999999999999,-43.000000000000014,50.375,50.375,0.0,,,,,,,
40,crnn crnn3 crnn4 crnn5 MLP2 ,56.99999999999999,-42.37500000000001,50.5,50.74999999999999,0.2499999999999929,,,,,,,
41,crnn crnn3 crnn4 prcnn MLP2 ,56.99999999999999,-43.000000000000014,48.5,48.5,0.0,,,,,,,
42,crnn crnn4 crnn5 prcnn MLP2 ,56.99999999999999,-43.000000000000014,49.75000000000001,49.75000000000001,0.0,,,,,,,
43,crnn crnn3 crnn4 ,56.75,-42.249999999999986,48.62500000000001,47.75,-0.8750000000000071,,,,,,,
44,crnn2 crnn3 crnn5 ,56.75,-43.000000000000014,49.5,50.24999999999999,0.7499999999999929,,,,,,,
45,crnn crnn4 prcnn ,56.75,-42.50000000000001,49.0,49.24999999999999,0.2499999999999929,,,,,,,
46,crnn3 crnn5 prcnn ,56.75,-43.000000000000014,51.625,51.74999999999999,0.1249999999999929,,,,,,,
47,crnn2 crnn3 crnn4 crnn5 LR ,56.75,-43.000000000000014,50.375,49.875,-0.5,,,,,,,
48,crnn2 crnn3 crnn4 crnn5 SVCpoly1 ,56.75,-43.000000000000014,50.74999999999999,50.625,-0.1249999999999929,,,,,,,
49,crnn2 crnn3 crnn4 crnn5 SVCrbf ,56.75,-43.000000000000014,50.0,50.24999999999999,0.2499999999999929,,,,,,,
