,commity,val_acc_1,val_acc_2,test_acc_1,test_acc_2,differences,count,mean,variance,t_value,p_value,max_accuracy,max_increment
0,crnn crnn4 crnn5 ,60.375,-39.625,51.74999999999999,51.74999999999999,0.0,50.0,-0.012500000000000283,0.2746170803433873,-0.32186034291019955,125.10723972312377,53.25,0.75
1,crnn4 crnn5 prcnn ,59.12500000000001,-40.87499999999999,52.87500000000001,52.87500000000001,0.0,,,,,,,
2,crnn crnn2 crnn4 crnn5 prcnn ,59.12500000000001,-40.87499999999999,51.625,51.625,0.0,,,,,,,
3,crnn2 crnn3 crnn4 crnn5 prcnn ,58.75,-41.25000000000001,52.5,52.5,0.0,,,,,,,
4,crnn crnn2 crnn3 crnn4 crnn5 ,58.62500000000001,-41.374999999999986,49.75000000000001,49.75000000000001,0.0,,,,,,,
5,crnn crnn3 crnn4 crnn5 prcnn ,58.5,-41.374999999999986,50.125,50.875,0.75,,,,,,,
6,crnn crnn2 crnn3 crnn4 crnn5 prcnn LR ,58.5,-41.5,52.0,52.0,0.0,,,,,,,
7,crnn crnn2 crnn3 crnn4 crnn5 prcnn SVCpoly1 ,58.5,-41.5,50.625,50.625,0.0,,,,,,,
8,crnn crnn2 crnn3 crnn4 crnn5 prcnn SVCrbf ,58.5,-41.5,49.375,49.375,0.0,,,,,,,
9,crnn crnn2 crnn3 crnn4 crnn5 prcnn linSVC2 ,58.5,-41.5,50.625,50.625,0.0,,,,,,,
10,crnn crnn2 crnn3 crnn4 crnn5 prcnn MLP1 ,58.5,-41.5,50.5,50.5,0.0,,,,,,,
11,crnn crnn2 crnn3 crnn4 crnn5 prcnn MLP2 ,58.5,-41.5,49.5,49.5,0.0,,,,,,,
12,crnn crnn5 prcnn ,58.25,-41.75,51.125,51.125,0.0,,,,,,,
13,crnn crnn2 crnn3 crnn5 prcnn ,58.12500000000001,-41.87499999999999,50.875,50.875,0.0,,,,,,,
14,crnn crnn3 crnn5 ,57.99999999999999,-42.37500000000001,50.875,49.125,-1.75,,,,,,,
15,crnn crnn2 crnn3 crnn4 prcnn ,57.99999999999999,-41.374999999999986,48.62500000000001,48.875,0.2499999999999929,,,,,,,
16,crnn crnn2 crnn5 prcnn LR ,57.49999999999999,-42.50000000000001,52.0,52.0,0.0,,,,,,,
17,crnn crnn2 crnn5 prcnn SVCpoly1 ,57.49999999999999,-42.50000000000001,49.875,49.875,0.0,,,,,,,
18,crnn crnn2 crnn5 prcnn SVCrbf ,57.49999999999999,-42.50000000000001,49.375,49.375,0.0,,,,,,,
19,crnn crnn2 crnn5 prcnn linSVC2 ,57.49999999999999,-42.50000000000001,49.875,49.875,0.0,,,,,,,
20,crnn crnn2 crnn5 prcnn MLP1 ,57.49999999999999,-42.50000000000001,49.75000000000001,49.75000000000001,0.0,,,,,,,
21,crnn crnn2 crnn5 prcnn MLP2 ,57.49999999999999,-42.50000000000001,48.75000000000001,48.75000000000001,0.0,,,,,,,
22,crnn2 crnn4 crnn5 ,57.375,-42.625,50.74999999999999,50.74999999999999,0.0,,,,,,,
23,crnn3 crnn4 crnn5 ,57.25,-42.75,52.125,52.125,0.0,,,,,,,
24,crnn crnn2 crnn4 ,57.125,-42.875,48.0,48.0,0.0,,,,,,,
25,crnn crnn3 crnn4 crnn5 LR ,56.99999999999999,-43.000000000000014,53.25,53.25,0.0,,,,,,,
26,crnn crnn3 crnn4 prcnn LR ,56.99999999999999,-43.000000000000014,51.625,51.625,0.0,,,,,,,
27,crnn crnn4 crnn5 prcnn LR ,56.99999999999999,-43.000000000000014,52.87500000000001,52.87500000000001,0.0,,,,,,,
28,crnn crnn3 crnn4 crnn5 SVCpoly1 ,56.99999999999999,-43.000000000000014,50.5,50.5,0.0,,,,,,,
29,crnn crnn3 crnn4 prcnn SVCpoly1 ,56.99999999999999,-43.000000000000014,50.0,50.0,0.0,,,,,,,
30,crnn crnn4 crnn5 prcnn SVCpoly1 ,56.99999999999999,-43.000000000000014,50.5,50.5,0.0,,,,,,,
31,crnn crnn3 crnn4 crnn5 SVCrbf ,56.99999999999999,-43.000000000000014,49.62500000000001,49.62500000000001,0.0,,,,,,,
32,crnn crnn3 crnn4 prcnn SVCrbf ,56.99999999999999,-43.000000000000014,47.62500000000001,47.62500000000001,0.0,,,,,,,
33,crnn crnn4 crnn5 prcnn SVCrbf ,56.99999999999999,-43.000000000000014,50.625,50.625,0.0,,,,,,,
34,crnn crnn3 crnn4 crnn5 linSVC2 ,56.99999999999999,-43.000000000000014,50.5,50.5,0.0,,,,,,,
35,crnn crnn3 crnn4 prcnn linSVC2 ,56.99999999999999,-43.000000000000014,50.0,50.0,0.0,,,,,,,
36,crnn crnn4 crnn5 prcnn linSVC2 ,56.99999999999999,-43.000000000000014,50.5,50.5,0.0,,,,,,,
37,crnn crnn3 crnn4 crnn5 MLP1 ,56.99999999999999,-43.000000000000014,50.375,50.375,0.0,,,,,,,
38,crnn crnn3 crnn4 prcnn MLP1 ,56.99999999999999,-43.000000000000014,49.875,49.875,0.0,,,,,,,
39,crnn crnn4 crnn5 prcnn MLP1 ,56.99999999999999,-43.000000000000014,50.375,50.375,0.0,,,,,,,
40,crnn crnn3 crnn4 crnn5 MLP2 ,56.99999999999999,-43.000000000000014,50.5,50.5,0.0,,,,,,,
41,crnn crnn3 crnn4 prcnn MLP2 ,56.99999999999999,-43.000000000000014,48.5,48.5,0.0,,,,,,,
42,crnn crnn4 crnn5 prcnn MLP2 ,56.99999999999999,-43.000000000000014,49.75000000000001,49.75000000000001,0.0,,,,,,,
43,crnn crnn3 crnn4 ,56.75,-43.250000000000014,48.62500000000001,48.62500000000001,0.0,,,,,,,
44,crnn2 crnn3 crnn5 ,56.75,-43.250000000000014,49.5,49.5,0.0,,,,,,,
45,crnn crnn4 prcnn ,56.75,-43.250000000000014,49.0,49.0,0.0,,,,,,,
46,crnn3 crnn5 prcnn ,56.75,-43.000000000000014,51.625,51.74999999999999,0.1249999999999929,,,,,,,
47,crnn2 crnn3 crnn4 crnn5 LR ,56.75,-43.250000000000014,50.375,50.375,0.0,,,,,,,
48,crnn2 crnn3 crnn4 crnn5 SVCpoly1 ,56.75,-43.250000000000014,50.74999999999999,50.74999999999999,0.0,,,,,,,
49,crnn2 crnn3 crnn4 crnn5 SVCrbf ,56.75,-43.250000000000014,50.0,50.0,0.0,,,,,,,
