,commity,val_acc_1,val_acc_2,test_acc_1,test_acc_2,differences,count,mean,variance,t_value,p_value,max_accuracy,max_increment
0,crnn crnn4 crnn5 ,60.375,61.0,51.74999999999999,52.25,0.5000000000000071,50.0,0.343499999999999,1.1550665896521337,2.102832698249274,4.064004121947273,52.6,2.25
1,crnn4 crnn5 prcnn ,59.12500000000001,59.25,52.87500000000001,51.82499999999999,-1.0500000000000185,,,,,,,
2,crnn crnn2 crnn4 crnn5 prcnn ,59.12500000000001,61.04999999999999,51.625,52.1,0.4750000000000014,,,,,,,
3,crnn2 crnn3 crnn4 crnn5 prcnn ,58.75,60.099999999999994,52.5,52.375000000000014,-0.12499999999998579,,,,,,,
4,crnn crnn2 crnn3 crnn4 crnn5 ,58.62500000000001,61.12500000000001,49.75000000000001,51.6,1.8499999999999943,,,,,,,
5,crnn crnn3 crnn4 crnn5 prcnn ,58.5,61.12499999999999,50.125,51.625,1.5,,,,,,,
6,crnn crnn2 crnn3 crnn4 crnn5 prcnn LR ,58.5,60.949999999999996,52.0,51.225,-0.7749999999999986,,,,,,,
7,crnn crnn2 crnn3 crnn4 crnn5 prcnn SVCpoly1 ,58.5,61.199999999999996,50.625,50.4,-0.22500000000000142,,,,,,,
8,crnn crnn2 crnn3 crnn4 crnn5 prcnn SVCrbf ,58.5,61.175000000000004,49.375,51.12500000000001,1.750000000000007,,,,,,,
9,crnn crnn2 crnn3 crnn4 crnn5 prcnn linSVC2 ,58.5,61.025,50.625,51.54999999999999,0.92499999999999,,,,,,,
10,crnn crnn2 crnn3 crnn4 crnn5 prcnn MLP1 ,58.5,61.199999999999996,50.5,51.374999999999986,0.8749999999999858,,,,,,,
11,crnn crnn2 crnn3 crnn4 crnn5 prcnn MLP2 ,58.5,60.9,49.5,51.45,1.9500000000000028,,,,,,,
12,crnn crnn5 prcnn ,58.25,59.375,51.125,50.87500000000001,-0.2499999999999929,,,,,,,
13,crnn crnn2 crnn3 crnn5 prcnn ,58.12500000000001,60.150000000000006,50.875,50.199999999999996,-0.6750000000000043,,,,,,,
14,crnn crnn3 crnn5 ,57.99999999999999,59.45,50.875,50.37500000000001,-0.4999999999999929,,,,,,,
15,crnn crnn2 crnn3 crnn4 prcnn ,57.99999999999999,60.20000000000001,48.62500000000001,47.85,-0.7750000000000057,,,,,,,
16,crnn crnn2 crnn5 prcnn LR ,57.49999999999999,60.0,52.0,50.075,-1.9249999999999972,,,,,,,
17,crnn crnn2 crnn5 prcnn SVCpoly1 ,57.49999999999999,59.925,49.875,49.95,0.07500000000000284,,,,,,,
18,crnn crnn2 crnn5 prcnn SVCrbf ,57.49999999999999,59.699999999999996,49.375,50.44999999999999,1.0749999999999886,,,,,,,
19,crnn crnn2 crnn5 prcnn linSVC2 ,57.49999999999999,59.67499999999999,49.875,50.275,0.3999999999999986,,,,,,,
20,crnn crnn2 crnn5 prcnn MLP1 ,57.49999999999999,59.925,49.75000000000001,49.85000000000001,0.10000000000000142,,,,,,,
21,crnn crnn2 crnn5 prcnn MLP2 ,57.49999999999999,59.824999999999996,48.75000000000001,49.9,1.1499999999999915,,,,,,,
22,crnn2 crnn4 crnn5 ,57.375,58.75,50.74999999999999,50.5,-0.2499999999999929,,,,,,,
23,crnn3 crnn4 crnn5 ,57.25,58.75,52.125,52.17499999999999,0.04999999999999005,,,,,,,
24,crnn crnn2 crnn4 ,57.125,57.60000000000001,48.0,48.775000000000006,0.7750000000000057,,,,,,,
25,crnn crnn3 crnn4 crnn5 LR ,56.99999999999999,61.475,53.25,50.45,-2.799999999999997,,,,,,,
26,crnn crnn3 crnn4 prcnn LR ,56.99999999999999,59.45,51.625,49.325,-2.299999999999997,,,,,,,
27,crnn crnn4 crnn5 prcnn LR ,56.99999999999999,61.12500000000001,52.87500000000001,52.125,-0.7500000000000071,,,,,,,
28,crnn crnn3 crnn4 crnn5 SVCpoly1 ,56.99999999999999,61.45,50.5,50.3,-0.20000000000000284,,,,,,,
29,crnn crnn3 crnn4 prcnn SVCpoly1 ,56.99999999999999,59.3,50.0,49.25000000000001,-0.7499999999999929,,,,,,,
30,crnn crnn4 crnn5 prcnn SVCpoly1 ,56.99999999999999,61.175000000000004,50.5,52.2,1.7000000000000028,,,,,,,
31,crnn crnn3 crnn4 crnn5 SVCrbf ,56.99999999999999,61.475,49.62500000000001,50.47500000000001,0.8500000000000014,,,,,,,
32,crnn crnn3 crnn4 prcnn SVCrbf ,56.99999999999999,59.425,47.62500000000001,48.35,0.7249999999999943,,,,,,,
33,crnn crnn4 crnn5 prcnn SVCrbf ,56.99999999999999,61.22500000000001,50.625,51.875,1.25,,,,,,,
34,crnn crnn3 crnn4 crnn5 linSVC2 ,56.99999999999999,61.4,50.5,50.3,-0.20000000000000284,,,,,,,
35,crnn crnn3 crnn4 prcnn linSVC2 ,56.99999999999999,59.475,50.0,49.324999999999996,-0.6750000000000043,,,,,,,
36,crnn crnn4 crnn5 prcnn linSVC2 ,56.99999999999999,61.12500000000001,50.5,52.325,1.8250000000000028,,,,,,,
37,crnn crnn3 crnn4 crnn5 MLP1 ,56.99999999999999,61.425,50.375,50.275000000000006,-0.09999999999999432,,,,,,,
38,crnn crnn3 crnn4 prcnn MLP1 ,56.99999999999999,59.275,49.875,49.3,-0.5750000000000028,,,,,,,
39,crnn crnn4 crnn5 prcnn MLP1 ,56.99999999999999,61.175000000000004,50.375,52.225,1.8500000000000014,,,,,,,
40,crnn crnn3 crnn4 crnn5 MLP2 ,56.99999999999999,61.45,50.5,50.85,0.3500000000000014,,,,,,,
41,crnn crnn3 crnn4 prcnn MLP2 ,56.99999999999999,59.3,48.5,49.349999999999994,0.8499999999999943,,,,,,,
42,crnn crnn4 crnn5 prcnn MLP2 ,56.99999999999999,61.175000000000004,49.75000000000001,51.82499999999999,2.0749999999999815,,,,,,,
43,crnn crnn3 crnn4 ,56.75,58.10000000000001,48.62500000000001,48.425,-0.20000000000000995,,,,,,,
44,crnn2 crnn3 crnn5 ,56.75,57.65,49.5,50.44999999999999,0.9499999999999886,,,,,,,
45,crnn crnn4 prcnn ,56.75,58.20000000000001,49.0,49.25000000000001,0.2500000000000071,,,,,,,
46,crnn3 crnn5 prcnn ,56.75,57.875,51.625,51.65,0.02499999999999858,,,,,,,
47,crnn2 crnn3 crnn4 crnn5 LR ,56.75,59.85,50.375,52.6,2.2250000000000014,,,,,,,
48,crnn2 crnn3 crnn4 crnn5 SVCpoly1 ,56.75,59.8,50.74999999999999,52.4,1.6500000000000057,,,,,,,
49,crnn2 crnn3 crnn4 crnn5 SVCrbf ,56.75,59.8,50.0,52.25,2.25,,,,,,,
