,commity,val_acc_1,val_acc_2,test_acc_1,test_acc_2,differences,count,mean,variance,t_value,p_value,max_accuracy,max_increment
0,crnn crnn2 crnn4 crnn5 prcnn ,58.62500000000001,-41.000000000000014,52.0,52.125,0.125,50.0,1.0424999999999998,0.8812133622431738,8.36527055729727,5.308753436850111e-09,53.37499999999999,2.750000000000007
1,crnn crnn4 crnn5 ,57.25,-41.87499999999999,50.125,51.5,1.375,,,,,,,
2,crnn crnn2 crnn3 crnn4 crnn5 ,57.125,-40.87499999999999,50.24999999999999,51.87500000000001,1.6250000000000142,,,,,,,
3,crnn crnn3 crnn4 crnn5 prcnn ,57.125,-40.75,51.87500000000001,53.25,1.374999999999993,,,,,,,
4,crnn crnn5 prcnn ,56.99999999999999,-41.625,49.375,50.875,1.5,,,,,,,
5,crnn crnn2 crnn3 crnn5 prcnn ,56.99999999999999,-41.99999999999999,50.625,51.125,0.5,,,,,,,
6,crnn4 crnn5 prcnn ,56.625,-42.125000000000014,51.37500000000001,52.5,1.124999999999993,,,,,,,
7,crnn2 crnn3 crnn4 crnn5 prcnn ,56.49999999999999,-42.625,51.74999999999999,52.0,0.2500000000000071,,,,,,,
8,crnn2 crnn4 crnn5 ,56.00000000000001,-42.37500000000001,49.75000000000001,51.625,1.874999999999993,,,,,,,
9,crnn crnn3 crnn5 ,55.75,-42.875,50.125,51.37500000000001,1.250000000000007,,,,,,,
10,crnn crnn2 crnn3 crnn4 prcnn ,55.75,-43.12499999999999,49.875,49.62500000000001,-0.2499999999999929,,,,,,,
11,crnn3 crnn4 crnn5 ,55.50000000000001,-43.000000000000014,50.625,51.87500000000001,1.250000000000007,,,,,,,
12,crnn crnn4 prcnn ,55.50000000000001,-43.625,49.375,50.5,1.125,,,,,,,
13,crnn2 crnn5 prcnn ,55.50000000000001,-43.99999999999999,48.0,49.5,1.5,,,,,,,
14,crnn crnn3 crnn4 crnn5 LR ,55.50000000000001,-42.125000000000014,52.25,52.5,0.25,,,,,,,
15,crnn crnn3 crnn5 prcnn LR ,55.50000000000001,-41.5,51.87500000000001,52.25,0.3749999999999929,,,,,,,
