,commity,val_acc_1,val_acc_2,test_acc_1,test_acc_2,differences,count,mean,variance,t_value,p_value,max_accuracy,max_increment
0,crnn crnn2 crnn4 crnn5 prcnn ,58.62500000000001,-41.374999999999986,52.0,52.0,0.0,50.0,0.24750000000000072,0.6203860302510137,2.820968232841427,0.6894827044258589,52.87500000000001,2.750000000000007
1,crnn crnn4 crnn5 ,57.25,-41.87499999999999,50.125,51.5,1.375,,,,,,,
2,crnn crnn2 crnn3 crnn4 crnn5 ,57.125,-42.875,50.24999999999999,50.24999999999999,0.0,,,,,,,
3,crnn crnn3 crnn4 crnn5 prcnn ,57.125,-42.875,51.87500000000001,51.87500000000001,0.0,,,,,,,
4,crnn crnn5 prcnn ,56.99999999999999,-43.000000000000014,49.375,49.375,0.0,,,,,,,
5,crnn crnn2 crnn3 crnn5 prcnn ,56.99999999999999,-43.000000000000014,50.625,50.625,0.0,,,,,,,
6,crnn4 crnn5 prcnn ,56.625,-42.125000000000014,51.37500000000001,52.5,1.124999999999993,,,,,,,
7,crnn2 crnn3 crnn4 crnn5 prcnn ,56.49999999999999,-42.75,51.74999999999999,51.625,-0.1249999999999929,,,,,,,
8,crnn2 crnn4 crnn5 ,56.00000000000001,-43.99999999999999,49.75000000000001,49.75000000000001,0.0,,,,,,,
9,crnn crnn3 crnn5 ,55.75,-44.249999999999986,50.125,50.125,0.0,,,,,,,
10,crnn crnn2 crnn3 crnn4 prcnn ,55.75,-44.249999999999986,49.875,49.875,0.0,,,,,,,
11,crnn3 crnn4 crnn5 ,55.50000000000001,-44.499999999999986,50.625,50.625,0.0,,,,,,,
12,crnn crnn4 prcnn ,55.50000000000001,-43.625,49.375,50.5,1.125,,,,,,,
13,crnn2 crnn5 prcnn ,55.50000000000001,-44.499999999999986,48.0,48.0,0.0,,,,,,,
14,crnn crnn3 crnn4 crnn5 LR ,55.50000000000001,-43.250000000000014,52.25,52.87500000000001,0.6250000000000071,,,,,,,
15,crnn crnn3 crnn5 prcnn LR ,55.50000000000001,-41.87499999999999,51.87500000000001,52.0,0.1249999999999929,,,,,,,
16,crnn crnn3 crnn4 crnn5 SVCpoly1 ,55.50000000000001,-43.250000000000014,51.625,51.37500000000001,-0.2499999999999929,,,,,,,
17,crnn crnn3 crnn5 prcnn SVCpoly1 ,55.50000000000001,-41.87499999999999,51.125,51.37500000000001,0.2500000000000071,,,,,,,
18,crnn crnn3 crnn4 crnn5 SVCrbf ,55.50000000000001,-43.250000000000014,48.75000000000001,51.5,2.749999999999993,,,,,,,
19,crnn crnn3 crnn5 prcnn SVCrbf ,55.50000000000001,-41.87499999999999,48.12499999999999,50.875,2.750000000000007,,,,,,,
20,crnn crnn3 crnn4 crnn5 linSVC2 ,55.50000000000001,-43.250000000000014,51.5,51.37500000000001,-0.1249999999999929,,,,,,,
21,crnn crnn3 crnn5 prcnn linSVC2 ,55.50000000000001,-41.87499999999999,51.125,51.37500000000001,0.2500000000000071,,,,,,,
22,crnn crnn3 crnn4 crnn5 MLP1 ,55.50000000000001,-43.250000000000014,51.5,51.37500000000001,-0.1249999999999929,,,,,,,
23,crnn crnn3 crnn5 prcnn MLP1 ,55.50000000000001,-41.87499999999999,51.125,51.37500000000001,0.2500000000000071,,,,,,,
24,crnn crnn3 crnn4 crnn5 MLP2 ,55.50000000000001,-43.250000000000014,50.74999999999999,51.0,0.2500000000000071,,,,,,,
25,crnn crnn3 crnn5 prcnn MLP2 ,55.50000000000001,-41.87499999999999,50.125,51.125,1.0,,,,,,,
26,crnn crnn2 crnn4 ,55.375,-44.625,46.25,46.25,0.0,,,,,,,
27,crnn crnn2 crnn3 crnn4 crnn5 prcnn LR ,55.25,-44.75,52.87500000000001,52.87500000000001,0.0,,,,,,,
28,crnn crnn2 crnn3 crnn4 crnn5 prcnn SVCpoly1 ,55.25,-44.75,51.87500000000001,51.87500000000001,0.0,,,,,,,
29,crnn crnn2 crnn3 crnn4 crnn5 prcnn SVCrbf ,55.25,-44.75,51.0,51.0,0.0,,,,,,,
30,crnn crnn2 crnn3 crnn4 crnn5 prcnn linSVC2 ,55.25,-44.75,51.87500000000001,51.87500000000001,0.0,,,,,,,
31,crnn crnn2 crnn3 crnn4 crnn5 prcnn MLP1 ,55.25,-44.75,51.74999999999999,51.74999999999999,0.0,,,,,,,
32,crnn crnn2 crnn3 crnn4 crnn5 prcnn MLP2 ,55.25,-44.75,51.37500000000001,51.37500000000001,0.0,,,,,,,
33,crnn crnn2 crnn5 ,55.125,-44.875,47.75,47.75,0.0,,,,,,,
34,crnn3 crnn5 prcnn ,55.125,-44.875,50.24999999999999,50.24999999999999,0.0,,,,,,,
35,crnn crnn3 crnn4 ,54.75,-45.250000000000014,50.5,50.5,0.0,,,,,,,
36,crnn crnn2 prcnn ,54.75,-45.250000000000014,45.875,45.875,0.0,,,,,,,
37,crnn crnn4 crnn5 prcnn LR ,54.75,-43.250000000000014,51.625,51.625,0.0,,,,,,,
38,crnn2 crnn4 crnn5 prcnn LR ,54.75,-45.250000000000014,52.0,52.0,0.0,,,,,,,
39,crnn crnn4 crnn5 prcnn SVCpoly1 ,54.75,-43.250000000000014,51.5,51.625,0.125,,,,,,,
40,crnn2 crnn4 crnn5 prcnn SVCpoly1 ,54.75,-45.250000000000014,50.375,50.375,0.0,,,,,,,
41,crnn crnn4 crnn5 prcnn SVCrbf ,54.75,-43.250000000000014,50.0,50.74999999999999,0.7499999999999929,,,,,,,
42,crnn2 crnn4 crnn5 prcnn SVCrbf ,54.75,-45.250000000000014,49.75000000000001,49.75000000000001,0.0,,,,,,,
43,crnn crnn4 crnn5 prcnn linSVC2 ,54.75,-43.250000000000014,51.5,51.625,0.125,,,,,,,
44,crnn2 crnn4 crnn5 prcnn linSVC2 ,54.75,-45.250000000000014,50.5,50.5,0.0,,,,,,,
45,crnn crnn4 crnn5 prcnn MLP1 ,54.75,-43.250000000000014,51.37500000000001,51.5,0.1249999999999929,,,,,,,
46,crnn2 crnn4 crnn5 prcnn MLP1 ,54.75,-45.250000000000014,50.375,50.375,0.0,,,,,,,
47,crnn crnn4 crnn5 prcnn MLP2 ,54.75,-43.250000000000014,51.0,51.0,0.0,,,,,,,
48,crnn2 crnn4 crnn5 prcnn MLP2 ,54.75,-45.250000000000014,50.74999999999999,50.74999999999999,0.0,,,,,,,
49,crnn2 crnn4 prcnn ,54.50000000000001,-45.50000000000001,48.5,48.5,0.0,,,,,,,
