,commity,val_acc_1,val_acc_2,test_acc_1,test_acc_2,differences,count,mean,variance,t_value,p_value,max_accuracy,max_increment
0,crnn crnn2 crnn4 crnn5 prcnn ,58.62500000000001,59.5,52.0,51.675,-0.32500000000000284,50.0,1.1234999999999995,0.9764237381006935,8.136165044577808,1.1838818814169372e-08,53.1,3.749999999999993
1,crnn crnn4 crnn5 ,57.25,58.12500000000001,50.125,51.5,1.375,,,,,,,
2,crnn crnn2 crnn3 crnn4 crnn5 ,57.125,60.25,50.24999999999999,52.375000000000014,2.1250000000000213,,,,,,,
3,crnn crnn3 crnn4 crnn5 prcnn ,57.125,60.050000000000004,51.87500000000001,52.975,1.0999999999999943,,,,,,,
4,crnn crnn5 prcnn ,56.99999999999999,58.375,49.375,50.87500000000001,1.500000000000007,,,,,,,
5,crnn crnn2 crnn3 crnn5 prcnn ,56.99999999999999,59.5,50.625,51.075,0.45000000000000284,,,,,,,
6,crnn4 crnn5 prcnn ,56.625,57.875,51.37500000000001,52.5,1.124999999999993,,,,,,,
7,crnn2 crnn3 crnn4 crnn5 prcnn ,56.49999999999999,59.5,51.74999999999999,52.5,0.7500000000000071,,,,,,,
8,crnn2 crnn4 crnn5 ,56.00000000000001,57.62500000000001,49.75000000000001,51.625,1.874999999999993,,,,,,,
9,crnn crnn3 crnn5 ,55.75,57.125,50.125,51.375,1.25,,,,,,,
10,crnn crnn2 crnn3 crnn4 prcnn ,55.75,58.12500000000001,49.875,50.1,0.22500000000000142,,,,,,,
11,crnn3 crnn4 crnn5 ,55.50000000000001,56.99999999999999,50.625,51.875,1.25,,,,,,,
12,crnn crnn4 prcnn ,55.50000000000001,56.375,49.375,50.5,1.125,,,,,,,
13,crnn2 crnn5 prcnn ,55.50000000000001,56.00000000000001,48.0,49.5,1.5,,,,,,,
14,crnn crnn3 crnn4 crnn5 LR ,55.50000000000001,59.875,52.25,52.5,0.25,,,,,,,
15,crnn crnn3 crnn5 prcnn LR ,55.50000000000001,59.375,51.87500000000001,51.375,-0.5000000000000071,,,,,,,
16,crnn crnn3 crnn4 crnn5 SVCpoly1 ,55.50000000000001,59.875,51.625,52.5,0.875,,,,,,,
17,crnn crnn3 crnn5 prcnn SVCpoly1 ,55.50000000000001,59.375,51.125,51.02499999999999,-0.10000000000000853,,,,,,,
18,crnn crnn3 crnn4 crnn5 SVCrbf ,55.50000000000001,59.875,48.75000000000001,52.5,3.749999999999993,,,,,,,
19,crnn crnn3 crnn5 prcnn SVCrbf ,55.50000000000001,59.375,48.12499999999999,50.975,2.8500000000000085,,,,,,,
20,crnn crnn3 crnn4 crnn5 linSVC2 ,55.50000000000001,59.875,51.5,52.5,1.0,,,,,,,
21,crnn crnn3 crnn5 prcnn linSVC2 ,55.50000000000001,59.375,51.125,50.99999999999999,-0.1250000000000071,,,,,,,
22,crnn crnn3 crnn4 crnn5 MLP1 ,55.50000000000001,59.875,51.5,52.5,1.0,,,,,,,
23,crnn crnn3 crnn5 prcnn MLP1 ,55.50000000000001,59.375,51.125,50.925,-0.20000000000000284,,,,,,,
24,crnn crnn3 crnn4 crnn5 MLP2 ,55.50000000000001,59.875,50.74999999999999,52.5,1.750000000000007,,,,,,,
25,crnn crnn3 crnn5 prcnn MLP2 ,55.50000000000001,59.375,50.125,51.29999999999999,1.17499999999999,,,,,,,
26,crnn crnn2 crnn4 ,55.375,55.875,46.25,48.49999999999999,2.249999999999993,,,,,,,
27,crnn crnn2 crnn3 crnn4 crnn5 prcnn LR ,55.25,60.525,52.87500000000001,52.575,-0.30000000000000426,,,,,,,
28,crnn crnn2 crnn3 crnn4 crnn5 prcnn SVCpoly1 ,55.25,60.62499999999999,51.87500000000001,52.25,0.3749999999999929,,,,,,,
29,crnn crnn2 crnn3 crnn4 crnn5 prcnn SVCrbf ,55.25,60.650000000000006,51.0,52.125,1.125,,,,,,,
30,crnn crnn2 crnn3 crnn4 crnn5 prcnn linSVC2 ,55.25,60.62499999999999,51.87500000000001,52.275,0.3999999999999915,,,,,,,
31,crnn crnn2 crnn3 crnn4 crnn5 prcnn MLP1 ,55.25,60.5,51.74999999999999,52.375000000000014,0.6250000000000213,,,,,,,
32,crnn crnn2 crnn3 crnn4 crnn5 prcnn MLP2 ,55.25,60.5,51.37500000000001,52.625,1.249999999999993,,,,,,,
33,crnn crnn2 crnn5 ,55.125,56.375,47.75,50.12499999999999,2.374999999999993,,,,,,,
